Time,Grass,Mice,Rabbits,Hawks
8,2750,600,434,119
16,3409,662,349,155
24,3343,479,248,189
32,3488,245,142,209
40,3341,133,94,202
48,3552,55,100,184
56,3520,47,70,172
64,3374,28,48,168
72,3345,20,28,160
80,3500,14,28,141
88,3459,15,9,131
96,3343,42,9,120
104,3476,55,8,108
112,3473,78,9,97
120,3528,76,4,89
128,3435,175,3,82
136,3474,205,3,74
144,3348,336,2,67
152,3452,374,6,62
160,3427,397,3,55
168,3388,337,3,50
176,3498,381,3,43
184,3476,444,3,41
192,3426,535,3,35
200,3474,583,6,27
208,3436,616,9,21
216,3533,714,15,19
224,3476,664,18,16
232,3399,604,15,13
240,3359,577,18,10
248,2992,595,16,8
256,995,657,30,6
264,1027,630,25,5
272,204,651,28,5
280,83,610,27,5
288,76,514,28,4
296,40,486,20,4
304,40,447,17,4
312,43,433,14,4
320,26,405,20,4
328,28,341,18,4
336,35,292,20,3
344,42,264,21,2
352,74,250,18,2
360,38,266,17,2
368,56,253,14,2
376,56,248,6,3
384,66,268,5,3
392,52,296,6,2
400,98,307,3,3
408,181,312,3,2
416,101,304,4,2
424,56,306,6,2
432,39,311,7,1
440,29,267,7,1
448,40,240,7,1
456,49,247,6,1
464,94,255,6,1
472,137,273,3,1
480,63,306,1,1
488,45,316,0,1
496,29,326,0,0
504,27,326,0,0
512,39,312,0,0
520,27,303,0,0
528,25,300,0,0
536,43,258,0,0
544,39,280,0,0
552,36,276,0,0
560,36,261,0,0
568,35,271,0,0
576,36,286,0,0
584,31,286,0,0
592,30,281,0,0
600,40,272,0,0
608,32,269,0,0
616,21,265,0,0
624,30,263,0,0
632,29,261,0,0
640,43,258,0,0
648,45,244,0,0
656,98,240,0,0
664,213,232,0,0
672,451,238,0,0
680,73,251,0,0
688,52,251,0,0
696,64,268,0,0
704,53,299,0,0
712,62,292,0,0
720,61,286,0,0
728,67,300,0,0
736,51,304,0,0
744,47,320,0,0
752,43,332,0,0
760,54,315,0,0
768,37,307,0,0
776,47,283,0,0
784,41,279,0,0
792,46,263,0,0
800,60,259,0,0
